"Distinct Counts of Benzodiazepine Prescriptions, Prescribers, and Patients, Philadelphia, 2017-2021",,,
Quarter,Total Prescriptions,Number of Distinct Prescribers,Number of Distinct Patients
2017 Q1,"154,487","4,411","72,310"
2017 Q2,"169,732","4,427","72,232"
2017 Q3,"161,878","4,522","69,723"
2017 Q4,"158,323","4,470","67,962"
2018 Q1,"154,258","4,507","66,477"
2018 Q2,"153,778","4,532","65,553"
2018 Q3,"149,464","4,559","63,401"
2018 Q4,"146,737","4,562","61,849"
2019 Q1,"138,169","4,484","59,774"
2019 Q2,"137,650","4,512","58,672"
2019 Q3,"132,614","4,536","56,088"
2019 Q4,"130,388","4,508","55,554"
2020 Q1,"127,589","4,426","55,539"
2020 Q2,"121,729","3,939","52,642"
2020 Q3,"120,833","4,247","52,368"
2020 Q4,"119,517","4,229","51,669"
2021 Q1,"114,370","4,208","50,763"
2021 Q2,"113,210","4,281","50,039"
2021 Q3,"110,463","4,381","49,075"
2021 Q4,"106,956","4,198","47,834"
