"Overdose Mortality Rate*, Count, Percent by Opioid Detection, Philadelphia, 2010-2020",,,,,,
,Opioid Overdose Death,,,Non-Opioid Overdose Death,,
Year,"Age-adjusted Rate per 100,000 residents",N,Percent,"Age-adjusted Rate per 100,000 residents",N,Percent
2010,18,297,76.70%,5.5,90,23.30%
2011,22.7,389,79.60%,5.6,100,20.40%
2012,24.8,423,82.50%,5.1,90,17.50%
2013,20.2,357,77.60%,5.7,103,22.40%
2014,28.2,495,78.80%,7.5,133,21.20%
2015,32.2,561,79.90%,8.1,141,20.10%
2016,40.7,752,82.90%,8.8,155,17.10%
2017,59.2,"1,075",88.30%,7.9,142,11.70%
2018,49.9,939,84.10%,10.1,177,15.90%
2019,53.6,963,83.70%,10.5,187,16.30%
2020,58.7,"1,041",85.70%,10.4,173,14.30%
