Year,State,County,Population,Model-based Death Rate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit
2010,Pennsylvania,"Adams County, PA","101,419",11.80170,2.40156,8.01189,17.38773
2010,Pennsylvania,"Allegheny County, PA","1,223,288",19.32370,1.22352,17.07449,21.86994
2010,Pennsylvania,"Armstrong County, PA","69,108",19.85971,3.88448,13.67436,28.84423
2010,Pennsylvania,"Beaver County, PA","170,532",16.32608,2.56267,12.06694,22.08901
2010,Pennsylvania,"Bedford County, PA","49,775",13.64573,3.15160,8.82105,21.10964
2010,Pennsylvania,"Berks County, PA","411,569",13.90050,1.66056,11.02534,17.52667
2010,Pennsylvania,"Blair County, PA","127,121",12.85620,2.38963,9.00914,18.34466
2010,Pennsylvania,"Bradford County, PA","62,700",11.27341,2.59128,7.30214,17.40663
2010,Pennsylvania,"Bucks County, PA","625,426",16.57723,1.53484,13.84164,19.85438
2010,Pennsylvania,"Butler County, PA","183,851",13.20091,2.17040,9.62314,18.10893
2010,Pennsylvania,"Cambria County, PA","143,693",27.31335,3.78551,20.89401,35.70697
2010,Pennsylvania,"Cameron County, PA","5,085",9.60084,3.42815,5.03615,18.30586
2010,Pennsylvania,"Carbon County, PA","65,244",16.57525,3.44366,11.16477,24.60610
2010,Pennsylvania,"Centre County, PA","154,008",6.24547,1.33574,4.16151,9.37387
2010,Pennsylvania,"Chester County, PA","499,141",11.30386,1.35779,8.95455,14.27036
2010,Pennsylvania,"Clarion County, PA","39,988",9.85593,2.52780,6.09477,15.93862
2010,Pennsylvania,"Clearfield County, PA","81,609",13.30907,2.76937,8.96065,19.77023
2010,Pennsylvania,"Clinton County, PA","39,248",9.12266,2.37521,5.60376,14.85152
2010,Pennsylvania,"Columbia County, PA","67,296",12.59041,2.78408,8.28212,19.14285
2010,Pennsylvania,"Crawford County, PA","88,750",16.04069,3.10824,11.08158,23.22101
2010,Pennsylvania,"Cumberland County, PA","235,403",9.33473,1.58614,6.73610,12.93643
2010,Pennsylvania,"Dauphin County, PA","268,127",10.01233,1.59062,7.37403,13.59412
2010,Pennsylvania,"Delaware County, PA","558,776",21.96617,1.88537,18.58156,25.96844
2010,Pennsylvania,"Elk County, PA","31,946",14.68261,3.68236,9.16996,23.51446
2010,Pennsylvania,"Erie County, PA","280,586",10.89457,1.65400,8.12977,14.59918
2010,Pennsylvania,"Fayette County, PA","136,589",20.59850,3.22178,15.24084,27.84086
2010,Pennsylvania,"Forest County, PA","7,707",10.39361,3.48514,5.64187,19.15168
2010,Pennsylvania,"Franklin County, PA","149,625",9.37729,1.82361,6.47004,13.59203
2010,Pennsylvania,"Fulton County, PA","14,844",16.23620,4.57521,9.61863,27.41154
2010,Pennsylvania,"Greene County, PA","38,692",25.47928,5.45095,16.97691,38.24829
2010,Pennsylvania,"Huntingdon County, PA","46,002",9.35965,2.34732,5.84449,14.98818
2010,Pennsylvania,"Indiana County, PA","88,881",15.83137,3.07396,10.92852,22.93369
2010,Pennsylvania,"Jefferson County, PA","45,189",12.08909,2.91260,7.67913,19.03040
2010,Pennsylvania,"Juniata County, PA","24,637",8.52170,2.47853,4.97297,14.60702
2010,Pennsylvania,"Lackawanna County, PA","214,427",16.81934,2.40542,12.75981,22.17105
2010,Pennsylvania,"Lancaster County, PA","519,443",10.47164,1.27671,8.26695,13.26510
2010,Pennsylvania,"Lawrence County, PA","91,156",17.35293,3.25625,12.12110,24.84130
2010,Pennsylvania,"Lebanon County, PA","133,596",6.42649,1.40773,4.24198,9.73400
2010,Pennsylvania,"Lehigh County, PA","349,508",13.27908,1.72473,10.32633,17.07698
2010,Pennsylvania,"Luzerne County, PA","320,917",16.18465,2.01001,12.72199,20.59037
2010,Pennsylvania,"Lycoming County, PA","116,095",11.42601,2.25725,7.83974,16.65419
2010,Pennsylvania,"Mc Kean County, PA","43,463",11.33199,2.79117,7.13180,18.00698
2010,Pennsylvania,"Mercer County, PA","116,663",17.73914,3.07254,12.72355,24.73290
2010,Pennsylvania,"Mifflin County, PA","46,677",10.81279,2.65144,6.81752,17.14877
2010,Pennsylvania,"Monroe County, PA","169,837",11.97895,2.08401,8.57953,16.72473
2010,Pennsylvania,"Montgomery County, PA","799,839",14.35007,1.26958,12.07734,17.05129
2010,Pennsylvania,"Montour County, PA","18,256",12.93581,3.60256,7.70407,21.71681
2010,Pennsylvania,"Northampton County, PA","297,704",11.33980,1.66175,8.54611,15.04700
2010,Pennsylvania,"Northumberland County, PA","94,468",13.79158,2.73535,9.44924,20.13023
2010,Pennsylvania,"Perry County, PA","45,927",12.15685,2.92932,7.72236,19.13882
2010,Pennsylvania,"Philadelphia County, PA","1,525,999",22.66962,1.19637,20.44605,25.13571
2010,Pennsylvania,"Pike County, PA","57,359",20.18781,4.14570,13.65902,29.84282
2010,Pennsylvania,"Potter County, PA","17,445",9.75750,2.87772,5.65500,16.83788
2010,Pennsylvania,"Schuylkill County, PA","148,281",18.02498,2.87003,13.26717,24.49051
2010,Pennsylvania,"Snyder County, PA","39,719",7.27885,1.97269,4.39136,12.06772
2010,Pennsylvania,"Somerset County, PA","77,736",16.82656,3.33996,11.52604,24.56807
2010,Pennsylvania,"Sullivan County, PA","6,431",11.45362,3.82521,6.23042,21.05976
2010,Pennsylvania,"Susquehanna County, PA","43,318",15.22631,3.55215,9.80329,23.65242
2010,Pennsylvania,"Tioga County, PA","41,931",9.07322,2.34829,5.58881,14.73264
2010,Pennsylvania,"Union County, PA","44,968",5.51271,1.52747,3.29169,9.23351
2010,Pennsylvania,"Venango County, PA","54,988",14.81697,3.29660,9.72265,22.58176
2010,Pennsylvania,"Warren County, PA","41,811",10.15546,2.59539,6.29098,16.39884
2010,Pennsylvania,"Washington County, PA","207,852",19.29374,2.65247,14.79036,25.17002
2010,Pennsylvania,"Wayne County, PA","52,844",17.48338,3.78614,11.59402,26.36676
2010,Pennsylvania,"Westmoreland County, PA","365,071",18.48688,2.06148,14.88652,22.95900
2010,Pennsylvania,"Wyoming County, PA","28,291",15.47763,3.87617,9.66907,24.76875
2010,Pennsylvania,"York County, PA","435,016",12.91288,1.55366,10.22521,16.30782
2011,Pennsylvania,"Adams County, PA","101,476",11.00484,2.27712,7.42471,16.31331
2011,Pennsylvania,"Allegheny County, PA","1,228,437",20.32897,1.25404,18.01971,22.93492
2011,Pennsylvania,"Armstrong County, PA","68,661",22.12264,4.21089,15.37845,31.82657
2011,Pennsylvania,"Beaver County, PA","170,330",21.96134,3.10109,16.71780,28.85169
2011,Pennsylvania,"Bedford County, PA","49,626",17.07243,3.77873,11.22624,25.96700
2011,Pennsylvania,"Berks County, PA","413,027",15.42982,1.76308,12.35994,19.26351
2011,Pennsylvania,"Blair County, PA","126,990",19.64606,3.20626,14.35445,26.89104
2011,Pennsylvania,"Bradford County, PA","63,111",13.44460,2.98192,8.83380,20.46606
