Year,State,County,Population,Model-based Death Rate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit
2020,Alabama,"Autauga County, AL","56,145",11.61598,2.77292,7.40726,18.21519
2020,Alabama,"Baldwin County, AL","229,287",27.35131,3.15060,21.87081,34.20709
2020,Alabama,"Barbour County, AL","24,589",7.64675,2.37747,4.31707,13.54725
2020,Alabama,"Bibb County, AL","22,136",27.32364,6.67402,17.25716,43.26364
2020,Alabama,"Blount County, AL","57,879",24.20066,4.74927,16.64264,35.18889
2020,Alabama,"Bullock County, AL","9,976",10.56846,3.68519,5.61659,19.88928
2020,Alabama,"Butler County, AL","19,504",14.30657,4.15141,8.35773,24.49483
2020,Alabama,"Calhoun County, AL","113,469",24.49555,3.86747,18.07500,33.19963
2020,Alabama,"Chambers County, AL","32,865",14.20587,3.63800,8.78987,22.95730
2020,Alabama,"Cherokee County, AL","26,294",21.67702,5.32336,13.65836,34.40015
2020,Alabama,"Chilton County, AL","44,397",22.95036,4.92244,15.27444,34.48214
2020,Alabama,"Choctaw County, AL","12,418",9.59325,3.15451,5.26111,17.49429
2020,Alabama,"Clarke County, AL","23,291",11.23313,3.27465,6.54711,19.27498
2020,Alabama,"Clay County, AL","13,112",13.71545,4.27248,7.73522,24.32181
2020,Alabama,"Cleburne County, AL","14,967",18.42864,5.26088,10.84896,31.30385
2020,Alabama,"Coffee County, AL","53,230",11.23542,2.76483,7.07388,17.84654
2020,Alabama,"Colbert County, AL","55,411",12.78814,3.03090,8.18010,19.99483
2020,Alabama,"Conecuh County, AL","11,851",21.00630,6.22982,12.14063,36.34745
2020,Alabama,"Coosa County, AL","10,650",15.25977,4.76332,8.59654,27.08775
2020,Alabama,"Covington County, AL","36,930",16.86062,4.12253,10.64585,26.71018
2020,Alabama,"Crenshaw County, AL","13,681",11.40046,3.65904,6.33191,20.52868
2020,Alabama,"Cullman County, AL","84,515",21.55012,3.91175,15.22277,30.50744
2020,Alabama,"Dale County, AL","48,959",12.70700,3.06617,8.06663,20.01609
2020,Alabama,"Dallas County, AL","36,098",7.83901,2.21836,4.63393,13.26027
2020,Alabama,"DeKalb County, AL","71,658",27.15621,4.82701,19.31580,38.17947
2020,Alabama,"Elmore County, AL","82,158",12.13587,2.63229,8.04297,18.31345
2020,Alabama,"Escambia County, AL","36,281",34.56577,6.97904,23.52840,50.77570
2020,Alabama,"Etowah County, AL","102,371",22.65014,3.79740,16.41259,31.25794
2020,Alabama,"Fayette County, AL","16,241",26.92858,7.07498,16.47522,44.01818
2020,Alabama,"Franklin County, AL","31,507",23.03913,5.38308,14.82270,35.80946
2020,Alabama,"Geneva County, AL","26,411",18.11048,4.69544,11.14679,29.42966
2020,Alabama,"Greene County, AL","7,990",8.06558,2.96965,4.15871,15.64488
2020,Alabama,"Hale County, AL","14,670",9.24812,3.04382,5.06966,16.87341
2020,Alabama,"Henry County, AL","17,223",10.65213,3.33422,5.99286,18.93572
2020,Alabama,"Houston County, AL","106,580",16.37890,3.01418,11.51714,23.29360
2020,Alabama,"Jackson County, AL","51,582",12.76892,3.02192,8.17073,19.95053
2020,Alabama,"Jefferson County, AL","655,342",40.02249,2.41201,35.57431,45.02832
2020,Alabama,"Lamar County, AL","13,764",13.92108,4.35761,7.83207,24.74762
2020,Alabama,"Lauderdale County, AL","93,368",11.65678,2.44049,7.82812,17.35339
2020,Alabama,"Lawrence County, AL","32,857",16.17141,4.00792,10.14791,25.76276
2020,Alabama,"Lee County, AL","166,831",11.76882,2.09432,8.36832,16.55285
2020,Alabama,"Limestone County, AL","102,228",8.96875,1.96572,5.91800,13.58696
